year,value,word
1940,1.85E-10,electability
1941,2.10E-10,electability
1942,1.78E-10,electability
1943,2.37E-10,electability
1944,2.62E-10,electability
1945,2.69E-10,electability
1946,4.19E-10,electability
1947,4.26E-10,electability
1948,4.33E-10,electability
1949,5.38E-10,electability
1950,6.60E-10,electability
1951,6.86E-10,electability
1952,7.32E-10,electability
1953,8.55E-10,electability
1954,9.08E-10,electability
1955,1.08E-09,electability
1956,1.13E-09,electability
1957,1.24E-09,electability
1958,1.36E-09,electability
1959,1.45E-09,electability
1960,1.65E-09,electability
1961,1.77E-09,electability
1962,1.95E-09,electability
1963,2.33E-09,electability
1964,2.41E-09,electability
1965,2.71E-09,electability
1966,3.13E-09,electability
1967,3.19E-09,electability
1968,3.45E-09,electability
1969,3.79E-09,electability
1970,4.26E-09,electability
1971,4.39E-09,electability
1972,4.77E-09,electability
1973,5.13E-09,electability
1974,7.73E-09,electability
1975,8.23E-09,electability
1976,8.94E-09,electability
1977,9.73E-09,electability
1978,1.08E-08,electability
1979,1.14E-08,electability
1980,1.19E-08,electability
1981,1.24E-08,electability
1982,1.40E-08,electability
1983,1.47E-08,electability
1984,1.51E-08,electability
1985,1.58E-08,electability
1986,1.64E-08,electability
1987,1.72E-08,electability
1988,1.76E-08,electability
1989,1.79E-08,electability
1990,1.86E-08,electability
1991,1.87E-08,electability
1992,1.90E-08,electability
1993,1.96E-08,electability
1994,2.06E-08,electability
1995,1.90E-08,electability
1996,1.99E-08,electability
1997,2.15E-08,electability
1998,2.30E-08,electability
1999,2.32E-08,electability
2000,2.43E-08,electability
2001,2.54E-08,electability
2002,2.59E-08,electability
2003,2.60E-08,electability
2004,2.60E-08,electability
2005,2.63E-08,electability
2006,2.77E-08,electability
2007,2.84E-08,electability
2008,2.97E-08,electability
2009,3.10E-08,electability
2010,3.19E-08,electability
2011,3.25E-08,electability
2012,3.35E-08,electability
2013,3.48E-08,electability
2014,3.57E-08,electability
2015,3.60E-08,electability
2016,3.68E-08,electability
2017,3.73E-08,electability
2018,3.60E-08,electability
2019,3.49E-08,electability
